CODE;DATE;BREVETS
AU;2014-01-01;536959
AU;2015-01-01;565564
AU;2016-01-01;593958
AU;2017-01-01;622864
AU;2018-01-01;652821
AT;1980-01-01;6493
AT;1981-01-01;12311
AT;1982-01-01;17164
AT;1983-01-01;21831
AT;1984-01-01;26046
AT;1985-01-01;29906
AT;1986-01-01;33452
AT;1987-01-01;36973
AT;1988-01-01;40233
AT;1989-01-01;43253
AT;1990-01-01;45948
AT;1991-01-01;48568
AT;1992-01-01;51202
AT;1993-01-01;53905
AT;1994-01-01;56410
AT;1995-01-01;58596
AT;1996-01-01;60954
AT;1997-01-01;63261
AT;1998-01-01;65567
AT;1999-01-01;67936
AT;2000-01-01;70237
AT;2001-01-01;72336
AT;2002-01-01;74597
AT;2003-01-01;76930
AT;2004-01-01;79444
AT;2005-01-01;81949
AT;2006-01-01;84598
AT;2007-01-01;87270
AT;2008-01-01;89897
AT;2009-01-01;92452
AT;2010-01-01;95125
AT;2011-01-01;97555
AT;2012-01-01;100107
AT;2013-01-01;102513
AT;2014-01-01;104876
AT;2015-01-01;107317
AT;2016-01-01;109632
AT;2017-01-01;111937
AT;2018-01-01;114144
AZ;1980-01-01;0
AZ;1981-01-01;0
AZ;1982-01-01;0
AZ;1983-01-01;0
AZ;1984-01-01;0
AZ;1985-01-01;0
AZ;1986-01-01;0
AZ;1987-01-01;0
AZ;1988-01-01;0
AZ;1989-01-01;0
AZ;1990-01-01;0
AZ;1991-01-01;0
AZ;1992-01-01;0
AZ;1993-01-01;0
AZ;1994-01-01;0
AZ;1995-01-01;251
AZ;1996-01-01;433
AZ;1997-01-01;433
AZ;1998-01-01;433
AZ;1999-01-01;433
AZ;2000-01-01;433
AZ;2001-01-01;646
AZ;2002-01-01;887
AZ;2003-01-01;1151
AZ;2004-01-01;1428
AZ;2005-01-01;1715
AZ;2006-01-01;1974
AZ;2007-01-01;2269
AZ;2008-01-01;2502
AZ;2009-01-01;2783
AZ;2010-01-01;3054
AZ;2011-01-01;3259
AZ;2012-01-01;3403
AZ;2013-01-01;3559
AZ;2014-01-01;3727
AZ;2015-01-01;3911
AZ;2016-01-01;4074
AZ;2017-01-01;4300
AZ;2018-01-01;4471
BS;1980-01-01;34
BS;1981-01-01;87
BS;1982-01-01;140
BS;1983-01-01;140
BS;1984-01-01;181
BS;1985-01-01;226
BS;1986-01-01;264
BS;1987-01-01;264
BS;1988-01-01;300
BS;1989-01-01;300
BS;1990-01-01;327
BS;1991-01-01;355
BS;1992-01-01;386
BS;1993-01-01;386
BS;1994-01-01;386
BS;1995-01-01;386
BS;1996-01-01;386
BS;1997-01-01;386
BS;1998-01-01;386
BS;1999-01-01;386
BS;2000-01-01;386
BS;2001-01-01;386
BS;2002-01-01;386
BS;2003-01-01;386
BS;2004-01-01;386
BS;2005-01-01;386
BS;2006-01-01;386
BS;2007-01-01;386
BS;2008-01-01;386
BS;2009-01-01;386
BS;2010-01-01;386
BS;2011-01-01;386
BS;2012-01-01;472
BS;2013-01-01;548
BS;2014-01-01;662
BS;2015-01-01;732
BS;2016-01-01;769
BS;2017-01-01;821
BS;2018-01-01;821
BH;1980-01-01;47
BH;1981-01-01;76
BH;1982-01-01;117
BH;1983-01-01;145
BH;1984-01-01;210
BH;1985-01-01;226
BH;1986-01-01;246
BH;1987-01-01;246
BH;1988-01-01;246
BH;1989-01-01;246
BH;1990-01-01;246
BH;1991-01-01;246
BH;1992-01-01;277
BH;1993-01-01;277
BH;1994-01-01;277
BH;1995-01-01;277
BH;1996-01-01;277
BH;1997-01-01;277
BH;1998-01-01;277
BH;1999-01-01;277
BH;2000-01-01;277
BH;2001-01-01;317
BH;2002-01-01;376
BH;2003-01-01;414
BH;2004-01-01;417
BH;2005-01-01;417
BH;2006-01-01;417
BH;2007-01-01;417
BH;2008-01-01;417
BH;2009-01-01;417
BH;2010-01-01;417
BH;2011-01-01;557
BH;2012-01-01;721
BH;2013-01-01;891
BH;2014-01-01;1096
BH;2015-01-01;1289
BH;2016-01-01;1466
BH;2017-01-01;1711
BH;2018-01-01;1941
BD;1980-01-01;136
BD;1981-01-01;308
BD;1982-01-01;452
BD;1983-01-01;615
BD;1984-01-01;781
BD;1985-01-01;917
BD;1986-01-01;1010
BD;1987-01-01;1131
BD;1988-01-01;1264
BD;1989-01-01;1372
BD;1990-01-01;1480
BD;1991-01-01;1593
BD;1992-01-01;1754
BD;1993-01-01;1861
BD;1994-01-01;1989
BD;1995-01-01;2215
BD;1996-01-01;2368
BD;1997-01-01;2533
BD;1998-01-01;2749
BD;1999-01-01;2998
BD;2000-01-01;3316
BD;2001-01-01;3611
BD;2002-01-01;3900
BD;2003-01-01;4218
BD;2004-01-01;4534
BD;2005-01-01;4878
BD;2006-01-01;5188
BD;2007-01-01;5487
BD;2008-01-01;5825
BD;2009-01-01;6155
BD;2010-01-01;6497
