Code;Date;Number
BN;1999-01-01;34
BN;2000-01-01;21
BN;2001-01-01;21
BN;2002-01-01;21
BN;2003-01-01;43
BN;2004-01-01;31
BN;2005-01-01;26
BN;2006-01-01;41
BN;2007-01-01;64
BN;2008-01-01;75
BN;2009-01-01;42
BN;2010-01-01;-1
BN;2011-01-01;-1
BN;2012-01-01;31
BN;2013-01-01;35
BN;2014-01-01;117
BN;2015-01-01;-1
BN;2016-01-01;89
BN;2017-01-01;107
BN;2018-01-01;121
BG;1980-01-01;4101
BG;1981-01-01;4544
BG;1982-01-01;4345
BG;1983-01-01;4539
BG;1984-01-01;4581
BG;1985-01-01;250
BG;1986-01-01;212
BG;1987-01-01;314
BG;1988-01-01;259
BG;1989-01-01;330
BG;1990-01-01;529
BG;1991-01-01;748
BG;1992-01-01;680
BG;1993-01-01;564
BG;1994-01-01;850
BG;1995-01-01;731
BG;1996-01-01;723
BG;1997-01-01;932
BG;1998-01-01;798
BG;1999-01-01;898
BG;2000-01-01;940
BG;2001-01-01;1068
BG;2002-01-01;1024
BG;2003-01-01;958
BG;2004-01-01;396
BG;2005-01-01;313
BG;2006-01-01;291
BG;2007-01-01;239
BG;2008-01-01;271
BG;2009-01-01;266
BG;2010-01-01;260
BG;2011-01-01;283
BG;2012-01-01;259
BG;2013-01-01;297
BG;2014-01-01;234
BG;2015-01-01;291
BG;2016-01-01;241
BG;2017-01-01;225
BG;2018-01-01;198
BF;1980-01-01;-1
BF;1981-01-01;-1
BF;1982-01-01;-1
BF;1983-01-01;-1
BF;1984-01-01;-1
BF;1985-01-01;-1
BF;1986-01-01;-1
BF;1987-01-01;-1
BF;1988-01-01;-1
BF;1989-01-01;-1
BF;1990-01-01;-1
BF;1991-01-01;-1
BF;1992-01-01;-1
BF;1993-01-01;-1
BF;1994-01-01;-1
BF;1995-01-01;-1
BF;1996-01-01;-1
BF;1997-01-01;-1
BF;1998-01-01;2
BF;1999-01-01;4
BF;2000-01-01;2
BF;2001-01-01;-1
BF;2002-01-01;-1
BF;2003-01-01;1
BF;2004-01-01;2
BF;2005-01-01;1
BF;2006-01-01;-1
BF;2007-01-01;-1
BF;2008-01-01;-1
BF;2009-01-01;-1
BF;2010-01-01;2
BF;2011-01-01;-1
BF;2012-01-01;-1
BF;2013-01-01;-1
BF;2014-01-01;-1
BF;2015-01-01;-1
BF;2016-01-01;-1
BF;2017-01-01;-1
